height_cm,media,price_gbp,title,url,width_cm
60,Acrylic and oil paint on canvas,N/A,"""Shift"" by Deanna Lewis",https://www.bearspace.co.uk/product-page/shift-by-deanna-lewis,60
60,Acrylic and oil paint on canvas,N/A,"""Push"" by Deanna Lewis",https://www.bearspace.co.uk/product-page/push-by-deanna-lewis,60
90, ,84,Broad Vales Between by Jane Ward,https://www.bearspace.co.uk/product-page/broad-vales-between-by-jane-ward,90
60,Oil on canvas,94,With Tomorrow by Chris Hawtin,https://www.bearspace.co.uk/product-page/with-tomorrow-by-chris-hawtin,60
60,Acrylic and oil paint on canvas,N/A,"""Stroke"" by Deanna Lewis",https://www.bearspace.co.uk/product-page/stroke-by-deanna-lewis,60
60,Oil on canvas,94,The Chaos by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-chaos-by-chris-hawtin,60
50,oil on canvas,64,SSHHH by Dominic Bradnum,https://www.bearspace.co.uk/product-page/sshhh-by-dominic-bradnum,50
100,"oil, watercolour, charcoal and ink on canvas",140,"Wherever You Go, I Will Follow by Dominic Bradnum",https://www.bearspace.co.uk/product-page/wherever-you-go-i-will-follow-by-dominic-bradnum,100
50,Acrylic and oil paint on canvas,N/A,"""Follow"" by Deanna Lewis",https://www.bearspace.co.uk/product-page/follow-by-deanna-lewis,50
60,Oil on canvas,94,The Reaches by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-reaches-by-chris-hawtin,60
70, ,94,The High Way (Peak) by Jane Ward,https://www.bearspace.co.uk/product-page/the-high-way-peak-by-jane-ward-1,70
90, ,84,From Frozen Floods by Jane Ward,https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward,90
90, ,84,In These Solitudes by Jane Ward,https://www.bearspace.co.uk/product-page/in-these-solitudes-by-jane-ward,90
30,Oil and acrylic on canvas,64,Embers by Chris Hawtin,https://www.bearspace.co.uk/product-page/embers-by-chris-hawtin,30
90, ,94,Unfathomable Deeps by Jane Ward,https://www.bearspace.co.uk/product-page/unfathomable-deeps-by-jane-ward,90
30,"Oil, acrylic and pigment on canvas",64,Loneliness by Chris Hawtin,https://www.bearspace.co.uk/product-page/loneliness-by-chris-hawtin,30
30,Oil and acrylic on canvas,64,Take Our Time (Someday) by Chris Hawtin,https://www.bearspace.co.uk/product-page/take-our-time-someday-by-chris-hawtin,30
90, ,84,"Of Earth, Air and Water by Jane Ward",https://www.bearspace.co.uk/product-page/of-earth-air-and-water-by-jane-ward,90
70,Oil & acrylic on canvas,140,The Castle by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-castle-by-chris-hawtin,70
150,"oil, watercolour, charcoal and ink on canvas",240,Message Of Undying Love by Dominic Bradnum,https://www.bearspace.co.uk/product-page/message-of-undying-love-by-dominic-bradnum,150
99,Oil & acrylic on canvas,160,The Mortal Frame by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-mortal-frame-by-chris-hawtin,99
30,Oil & acrylic on canvas,69,Guiding Light by Chris Hawtin,https://www.bearspace.co.uk/product-page/guiding-light-by-chris-hawtin,30
1413,Mixed media,N/A,Sovereign,https://www.bearspace.co.uk/product-page/sovereign,1413
1413,Mixed media,N/A,copy of Recon Drones by Chris Hawtin,https://www.bearspace.co.uk/product-page/copy-of-recon-drones-by-chris-hawtin,1413
1413,Mixed media,N/A,Factory by Chris Hawtin,https://www.bearspace.co.uk/product-page/factory-by-chris-hawtin,1413
80,60x80cm,N/A,Yellow Wall by Lucinda Metcalfe,https://www.bearspace.co.uk/product-page/yellow-wall-by-lucinda-metcalfe-1,80
120,Archival digital print on canvas,N/A,Bridge Over Garden City State by Jane Ward,https://www.bearspace.co.uk/product-page/bridge-over-garden-city-state-by-jane-ward,120
70, ,94,The High Way (Pass) by Jane Ward,https://www.bearspace.co.uk/product-page/the-high-way-peak-by-jane-ward,70
1413,Mixed media,N/A,Recon Drones by Chris Hawtin,https://www.bearspace.co.uk/product-page/recon-drones-by-chris-hawtin,1413
8,40x26x8 cm,N/A,Emplacement 5 by Victoria Ashdown,https://www.bearspace.co.uk/product-page/emplacement-5-by-victoria-ashdown,8
70,90x70cm,N/A,Skywalk by Jane Ward,https://www.bearspace.co.uk/product-page/skywalk-by-jane-ward,70
5,30x30x5,N/A,Emplacement 1 by Victoria Ashdown,https://www.bearspace.co.uk/product-page/emplacement-1-by-victoria-ashdown,5
18,Watercolour and hand coloured copper plate etching on Velin Arches,94,Chiral VI by Bella Easton,https://www.bearspace.co.uk/product-page/chiral-vi-by-bella-easton,18
7,43x25x7 cm,N/A,Emplacement 4 by Victoria Ashdown,https://www.bearspace.co.uk/product-page/emplacement-4-by-victoria-ashdown,7
1413,Mixed media,N/A,Capital Drone by Chris Hawtin,https://www.bearspace.co.uk/product-page/capital-drone-by-chris-hawtin,1413
24,26x4x24,N/A,Emplacement 2 by Victoria Ashdown,https://www.bearspace.co.uk/product-page/emplacement-2-by-victoria-ashdown,24
18,Watercolour and hand coloured copper plate etching on Velin Arches,95,Chiral IV by Bella Easton,https://www.bearspace.co.uk/product-page/chiral-iv-by-bella-easton,18
9,15x42x9 cm,N/A,Emplacement 3 by Victoria Ashdown,https://www.bearspace.co.uk/product-page/emplacement-3-by-victoria-ashdown,9
117,Artist: Bella Easton,280,MYRIORAMA ROOM series – FIREPLACE II by Bella Easton,https://www.bearspace.co.uk/product-page/myriorama-room-series-fireplace-ii-by-bella-easton,117
18,Watercolour and hand coloured copper plate etching on Velin Arches,94,Chiral V by Bella Easton,https://www.bearspace.co.uk/product-page/chiral-v-by-bella-easton,18
117,Artist: Bella Easton,280,MYRIORAMA ROOM series - LAMP by Bella Easton,https://www.bearspace.co.uk/product-page/myriorama-room-series-lamp-by-bella-easton,117
120,Archival digital print on canvas,N/A,Overland 1 by Jane Ward,https://www.bearspace.co.uk/product-page/overland-1-by-jane-ward,120
120,Archival digital print on canvas,N/A,Overland 2 by Jane Ward,https://www.bearspace.co.uk/product-page/overland-2-by-jane-ward,120
18,Watercolour and hand coloured copper plate etching on Velin Arches,94,Chiral II by Bella Easton,https://www.bearspace.co.uk/product-page/chiral-ii-by-bella-easton,18
198,"Oil, enamel, acrylic and plaster on canvas",400,The Wheel by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-wheel-by-chris-hawtin,198
30,Digital print on canvas with hand dissolved ink,N/A,Alpine 2 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-2-by-jane-ward,30
120,Archival digital print on canvas,N/A,Overland 3 by Jane Ward,https://www.bearspace.co.uk/product-page/overland-3-by-jane-ward,120
120,Archival digital print on canvas,N/A,Overland 4 by Jane Ward,https://www.bearspace.co.uk/product-page/overland-4-by-jane-ward,120
30,Digital print on canvas with hand dissolved ink,N/A,Alpine 4 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-3-by-jane-ward,30
30,Digital print on canvas with hand dissolved ink,N/A,Alpine 1 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-1-by-jane-ward,30
45,57.5cmx45cm ,N/A,Summer Breeze by Lucinda Metcalfe,https://www.bearspace.co.uk/product-page/summer-breeze-by-lucinda-metcalfe,45
18,Watercolour and hand coloured copper plate etching on Velin Arches,94,Chiral III by Bella Easton,https://www.bearspace.co.uk/product-page/chiral-iii-by-bella-easton,18
198,"Oil, enamel, acrylic and plaster on canvas",400,Ennio Fallen by Chris Hawtin,https://www.bearspace.co.uk/product-page/ennio-fallen-by-chris-hawtin,198
117,Artist: Bella Easton,280,MYRIORAMA ROOM series –ARMCHAIR by Bella Easton,https://www.bearspace.co.uk/product-page/myriorama-room-series-armchair-by-bella-easton,117
30,Digital print on canvas with hand dissolved ink,N/A,Alpine 3 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-3-by-jane-ward-1,30
180,"Oil, enamel, acrylic and plaster on canvas",380,Venn's Bluff by Chris Hawtin,https://www.bearspace.co.uk/product-page/venn-s-bluff-by-chris-hawtin,180
42,screenprint on paper,N/A,YETI OVER MOUNT FUJI (PANTONE YELLOW) by Phil Ashcroft,https://www.bearspace.co.uk/product-page/yeti-over-mount-fuji-pantone-yellow-by-phil-ashcroft,42
N/A,"Oil with charcoal, watercolour, salt & sand on canvas",140,I Crash Into Your Arms by Dominic Bradnum,https://www.bearspace.co.uk/product-page/i-crash-into-your-arms,N/A
45, ,N/A,Garden City State 1c by Jane Ward,https://www.bearspace.co.uk/product-page/garden-city-state-1c-by-jane-ward,45
N/A,Oil with charcoal & watercolour on canvas,160,Under A Bruised And Leaden Sky by Dominic Badnum,https://www.bearspace.co.uk/product-page/under-a-bruised-and-leaden-sky-by-dominic-badnum,N/A
45, ,N/A,Garden City State 1b by Jane Ward,https://www.bearspace.co.uk/product-page/garden-city-state-1b-by-jane-ward,45
99,"Oil, enamel and acrylic on canvas",160,Anxiety Machines by Chris Hawtin,https://www.bearspace.co.uk/product-page/anxiety-machines,99
143,"Oil,enamel and acrylic on canvas",240,Jerome's Peak by Chris Hawtin,https://www.bearspace.co.uk/product-page/jerome-s-peak-by-chris-hawtin,143
70,Oil and acrylic on canvas,120,Photeus at the Pythia by Chris Hawtin,https://www.bearspace.co.uk/product-page/photeus-at-the-pythia-by-chris-hawtin,70
50,Oil and acrylic on canvas,69,Protist Peak by Chris Hawtin,https://www.bearspace.co.uk/product-page/protist-peak-by-chris-hawtin,50
47,Oil and acrylic on canvas,80,Seth's Narrows by Chris Hawtin,https://www.bearspace.co.uk/product-page/seth-s-narrows-by-chris-hawtin,47
40,"Oil, enamel and acrylic on canvas",69,Relic Engines by Chris Hawtin,https://www.bearspace.co.uk/product-page/relic-engines-by-chris-hawtin,40
46,Oil and acrylic on canvas,80,Tilt by Chris Hawton,https://www.bearspace.co.uk/product-page/tilt-by-chris-hawton,46
56,Screen print on paper,25,The Scientist by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-scientist-by-chris-hawtin,56
56,Screenprint on paper,25,The Vandal by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-vandal-by-chris-hawtin,56
N/A,height 110cm x width 150cm,240,Then All Was Calm... by Dominic Bradnum,https://www.bearspace.co.uk/product-page/then-all-was-calm,N/A
62,Oil on Canvas,94,March by Chris Hawtin,https://www.bearspace.co.uk/product-page/march-by-chris-hawtin,62
86,Oil on canvas,140,The Cope Marsh Station by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-cope-marsh-station,86
60,,N/A,(GCS) High Rise - Jane Ward,https://www.bearspace.co.uk/product-page/gcs-high-rise-jane-ward,60
198,"Oil, enamel, acrylic and resin on canvas",400,Gregor's Hollow by Chris Hawtin,https://www.bearspace.co.uk/product-page/gregor-s-hollow-by-chris-hawtin,198
45,92X45 CM,N/A,Boondocks by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/boondocks-by-suzanne-moxhay,45
160,170x160cm,380,The Dawn Chorus by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-dawn-chorus-by-chris-hawtin,160
40,60x40cm,N/A,Gloaming by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/gloaming-by-suzanne-moxhay,40
45, ,N/A,Garden City State 1a by Jane Ward,https://www.bearspace.co.uk/product-page/garden-city-state-1a-by-jane-ward,45
101,Oil and enamel on canvas,160,The Hidden City by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-hidden-city-by-chris-hawtin,101
50,100X50CM,N/A,Athne by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/athne-by-suzanne-moxhay,50
60,50x60cm,N/A,"'Retreating, then advancing repeatedly over the centuries'5 by Janie Kidston",https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-5,60
60,50x60cm,N/A,"'Retreating, then advancing repeatedly over the centuries 6' by Janie Kidston",https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-6-by-janie-kidston,60
60,50x60cm,N/A,"'Retreating, then advancing repeatedly over the centuries 3' by Janie Kidston",https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-3-by-janie-kidston,60
55,Archival Digital print,N/A,Feralis by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/feralis-by-suzanne-moxhay,55
59,Archival Digital Print,N/A,Walking Out Over Ice in Midsummer 1 by Janie Kidston,https://www.bearspace.co.uk/product-page/walking-out-over-ice-in-midsummer-1,59
60,50x60 cm,N/A,Moving from the side of the valley by Janie Kidston,https://www.bearspace.co.uk/product-page/moving-from-the-side-of-the-vallery,60
70,90x70cm,N/A,Castle by Jane Ward,https://www.bearspace.co.uk/product-page/castle-by-jane-ward,70
70,90x70cm,N/A,Sky Walk by Jane ward,https://www.bearspace.co.uk/product-page/sky-walk-by-jane-ward,70
60,70x60cm,N/A,Secret Place by Natasha Kissell,https://www.bearspace.co.uk/product-page/secret-place-by-natasha-kissell,60
49,Acrylic and oil on board,N/A,Lucinda Metcalfe - Neon Pool,https://www.bearspace.co.uk/product-page/neon-pool,49
41, ,N/A,Jubellied (joy song) by Nadja Gabriela Plein,https://www.bearspace.co.uk/product-page/jubellied-joy-song-by-nadja-gabriela-plein,41
44,100x44 cm,N/A,Bayou,https://www.bearspace.co.uk/product-page/bayou,44
38,43x38cm,N/A,Heated Discussion by Lucinda Metcalfe,https://www.bearspace.co.uk/product-page/heated-discussion-by-lucinda-metcalfe,38
90,125x90,N/A,Amongst the Impcat Scars by Jane Ward,https://www.bearspace.co.uk/product-page/amongst-the-impcat-scars,90
