height_cm,media,price_gbp,title,url,width_cm
40,"Oil, enamel and acrylic on canvas",69,Relic Engines by Chris Hawtin,https://www.bearspace.co.uk/product-page/relic-engines-by-chris-hawtin,40
47,Oil and acrylic on canvas,80,Seth's Narrows by Chris Hawtin,https://www.bearspace.co.uk/product-page/seth-s-narrows-by-chris-hawtin,47
56,Screen print on paper,25,The Scientist by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-scientist-by-chris-hawtin,56
101,Oil and enamel on canvas,160,The Hidden City by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-hidden-city-by-chris-hawtin,101
86,Oil on canvas,140,The Cope Marsh Station by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-cope-marsh-station,86
46,Oil and acrylic on canvas,80,Tilt by Chris Hawton,https://www.bearspace.co.uk/product-page/tilt-by-chris-hawton,46
56,Screenprint on paper,25,The Vandal by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-vandal-by-chris-hawtin,56
18,Watercolour and hand coloured copper plate etching on Velin Arches,94,Chiral II by Bella Easton,https://www.bearspace.co.uk/product-page/chiral-ii-by-bella-easton,18
62,Oil on Canvas,94,March by Chris Hawtin,https://www.bearspace.co.uk/product-page/march-by-chris-hawtin,62
117,Artist: Bella Easton,280,MYRIORAMA ROOM series –ARMCHAIR by Bella Easton,https://www.bearspace.co.uk/product-page/myriorama-room-series-armchair-by-bella-easton,117
50,100X50CM,N/A,Athne by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/athne-by-suzanne-moxhay,50
45,92X45 CM,N/A,Boondocks by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/boondocks-by-suzanne-moxhay,45
160,170x160cm,380,The Dawn Chorus by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-dawn-chorus-by-chris-hawtin,160
55,Archival Digital print,N/A,Feralis by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/feralis-by-suzanne-moxhay,55
60,50x60cm,N/A,"'Retreating, then advancing repeatedly over the centuries 3' by Janie Kidston",https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-3-by-janie-kidston,60
60,50x60cm,N/A,"'Retreating, then advancing repeatedly over the centuries 6' by Janie Kidston",https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-6-by-janie-kidston,60
60,50x60 cm,N/A,Moving from the side of the valley by Janie Kidston,https://www.bearspace.co.uk/product-page/moving-from-the-side-of-the-vallery,60
59,Archival Digital Print,N/A,Walking Out Over Ice in Midsummer 1 by Janie Kidston,https://www.bearspace.co.uk/product-page/walking-out-over-ice-in-midsummer-1,59
49,Acrylic and oil on board,N/A,Lucinda Metcalfe - Neon Pool,https://www.bearspace.co.uk/product-page/neon-pool,49
41, ,N/A,Jubellied (joy song) by Nadja Gabriela Plein,https://www.bearspace.co.uk/product-page/jubellied-joy-song-by-nadja-gabriela-plein,41
70,90x70cm,N/A,Sky Walk by Jane ward,https://www.bearspace.co.uk/product-page/sky-walk-by-jane-ward,70
44,100x44 cm,N/A,Bayou,https://www.bearspace.co.uk/product-page/bayou,44
90,125x90,N/A,Amongst the Impcat Scars by Jane Ward,https://www.bearspace.co.uk/product-page/amongst-the-impcat-scars,90
38,43x38cm,N/A,Heated Discussion by Lucinda Metcalfe,https://www.bearspace.co.uk/product-page/heated-discussion-by-lucinda-metcalfe,38
70,90x70cm,N/A,Castle by Jane Ward,https://www.bearspace.co.uk/product-page/castle-by-jane-ward,70
60,70x60cm,N/A,Secret Place by Natasha Kissell,https://www.bearspace.co.uk/product-page/secret-place-by-natasha-kissell,60
45, ,N/A,Garden City State 1a by Jane Ward,https://www.bearspace.co.uk/product-page/garden-city-state-1a-by-jane-ward,45
60,,N/A,(GCS) High Rise - Jane Ward,https://www.bearspace.co.uk/product-page/gcs-high-rise-jane-ward,60
60,50x60cm,N/A,"'Retreating, then advancing repeatedly over the centuries'5 by Janie Kidston",https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-5,60
40,60x40cm,N/A,Gloaming by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/gloaming-by-suzanne-moxhay,40
